CASO NÚMERO,ESTADO DEL CASO,COORDENADAS , EXHUMACION,ESTADO DEL PROCESO,DEPARTAMENTO,MUNICIPIO,LATITUD,LONGITUD,COORDENADAS
CIH-0025-15,CERRADO,"-75,7648611","7,17841667",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.17841667,-75.7648611,"7.17841667,-75.7648611"
CIH-0025-16,PEND.RESULT.GENETICA,"-75,4549942","6,07141667",NO_IDENTIFICADO,ANTIOQUIA,LA CEJA,6.07141667,-75.4549942,"6.07141667,-75.4549942"
CIH-0025-17,PEND.RESULT.GENETICA,"-75,7506944","7,17413889",,ANTIOQUIA,MEDELLÍN,7.17413889,-75.7506944,"7.17413889,-75.7506944"
CIH-0026-14,CERRADO,"-76,60883333","8,360833333",IDENTIF_ENTREGADO,ANTIOQUIA,NECOCLÍ,8.360833333,-76.60883333,"8.360833333,-76.60883333"
CIH-0026-15,CERRADO,"-75,7648611","7,17852778",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.17852778,-75.7648611,"7.17852778,-75.7648611"
CIH-0026-16,PEND.RESULT.GENETICA,"-75,5735","6,277861111",NO_IDENTIFICADO,ANTIOQUIA,MEDELLÍN,6.277861111,-75.5735,"6.277861111,-75.5735"
CIH-0026-17,CERRADO,"-75,6933056","7,00841667",IDENTIF_ENTREGADO,ANTIOQUIA,TOLEDO,7.00841667,-75.6933056,"7.00841667,-75.6933056"
CIH-0027-14,CERRADO,"-76,8075","8,486138889",NO_IDENTIFICADO,ANTIOQUIA,NECOCLÍ,8.486138889,-76.8075,"8.486138889,-76.8075"
CIH-0027-15,CERRADO,"-75,7648611","7,17852778",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.17852778,-75.7648611,"7.17852778,-75.7648611"
CIH-0027-16,PEND.RESULT.GENETICA,"-75,5735","6,277861111",NO_IDENTIFICADO,ANTIOQUIA,MEDELLÍN,6.277861111,-75.5735,"6.277861111,-75.5735"
CIH-0027-17,CERRADO,"-75,6933056","7,00841667",,ANTIOQUIA,TOLEDO,7.00841667,-75.6933056,"7.00841667,-75.6933056"
CIH-0028-14,CERRADO,"-76,68327778","8,305388889",NO_IDENTIFICADO,ANTIOQUIA,NECOCLÍ,8.305388889,-76.68327778,"8.305388889,-76.68327778"
CIH-0028-15,PEND.RESULT.GENETICA,"-74,9315639","6,15816389",NO_IDENTIFICADO,ANTIOQUIA,SAN CARLOS,6.15816389,-74.9315639,"6.15816389,-74.9315639"
CIH-0028-16,PEND.RESULT.GENETICA,"-75,5735","6,277861111",NO_IDENTIFICADO,ANTIOQUIA,MEDELLÍN,6.277861111,-75.5735,"6.277861111,-75.5735"
CIH-0028-17,CERRADO,"-75,7634722","7,17263889",IDENTIF_ENTREGADO,ANTIOQUIA,ITUANGO,7.17263889,-75.7634722,"7.17263889,-75.7634722"
CIH-0029-14,CERRADO,"-76,68527778","8,311027778",IDENTIF_ENTREGADO,ANTIOQUIA,NECOCLÍ,8.311027778,-76.68527778,"8.311027778,-76.68527778"
CIH-0029-15,CERRADO,"-74,9315693","6,15816389",IDENTIF_ENTREGADO,ANTIOQUIA,SAN CARLOS,6.15816389,-74.9315693,"6.15816389,-74.9315693"
CIH-0029-16,CERRADO,"-75,8579167","8,74144444",IDENTIF_ENTREGADO,CÓRDOBA,MONTERÍA,8.74144444,-75.8579167,"8.74144444,-75.8579167"
CIH-0029-17,CERRADO,"-75,7634722","7,17263889",,ANTIOQUIA,ITUANGO,7.17263889,-75.7634722,"7.17263889,-75.7634722"
CIH-0030-14,CERRADO,"-76,56577778","8,465361111",NO_IDENTIFICADO,ANTIOQUIA,NECOCLÍ,8.465361111,-76.56577778,"8.465361111,-76.56577778"
